section	symbol	english	sqi	english_lines	sqi_lines
Names	mkSN	True	True	171:mkSN = overload { | 172:mkSN : Str -> SN = \s -> | 175:mkSN : Str -> Str -> Str -> SN = \male,female,pl ->	1302:mkSN = overload { | 1303:mkSN : Str -> SN = \x -> lin SN { | 1306:mkSN : Str -> Str -> Str -> SN = \male,female,pl -> lin SN {
Nominal	mkQuant	True	True	192:mkQuant : overload { | 193:mkQuant : (this, these : Str) -> Quant ; --% | 194:mkQuant : (no_sg, no_pl, none_sg, non_pl : Str) -> Quant ; --% | 516:mkQuant = overload { | 517:mkQuant : (this, these : Str) -> Quant = \sg,pl -> mkQuantifier sg pl sg pl sg pl; | 518:mkQuant : (no_sg, no_pl, none_sg, non_pl : Str) -> Quant = \sg,pl,sg',pl' -> mkQuantifier sg pl sg' pl' sg' pl';	1513:oper mkQuant : (_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_ : Str) -> Quant =
Nominal	mkOrd	True	True	197:mkOrd : Str -> Ord ; --% | 530:mkOrd : Str -> Ord = \x -> lin Ord { s = regGenitiveS x};	1492:mkOrd : Str -> Ord = \x -> lin Ord {s=\\_,_,_=>x} ;
Adjectives	mkA	True	True	201:mkA : overload { | 207:mkA : (happy : Str) -> A ; -- regular adj, incl. happy-happier, rude-ruder | 212:mkA : (fat,fatter : Str) -> A ; -- irreg. comparative | 216:mkA : (good,better,best,well : Str) -> A  -- completely irreg. | 741:mkA = overload { | 742:mkA : Str -> A = \s -> lin A (regA s) ;	1312:mkA = overload { | 1313:mkA : Str -> A = regA;   -- s;Nom;Masc;Sg | 1314:mkA : Str -> Str -> A = reg2A   -- s;Nom;Masc;Sg  s;Nom;Masc;Pl | 1325:mkA2 : Str -> A2 = \a -> mkA2Core (mkA a) noPrep ; | 1326:mkA2 : Str -> Prep -> A2 = \a,p -> mkA2Core (mkA a) p ; | 1327:mkA2 : Str -> Str -> A2 = \a,p -> mkA2Core (mkA a) (mkPrep p) ;
Adjectives	compoundA	True	False	223:compoundA : A -> A ; -- force comparison with more/most | 754:compoundA = compoundADeg ;	
Adjectives	simpleA	True	False	224:simpleA   : A -> A ; -- force comparison with -er,-est | 755:simpleA a =	
Adjectives	irregAdv	True	False	"225:irregAdv  : A -> Str -> A ;  -- adverb irreg, e.g. ""fast"" | 759:irregAdv a adv = a ** {s = table {AAdv => adv; aform => a.s ! aform}} ;"	
Adjectives	invarA	True	False	226:invarA    : Str -> A ; -- adjective that does not vary in morphology | 749:invarA s = lin A {	
Adjectives	mkA2	True	True	230:mkA2 : overload { | 231:mkA2 : A -> Prep -> A2 ; -- absent from | 232:mkA2 : A -> Str -> A2 ; -- absent from --% | 233:mkA2 : Str -> Prep -> A2 ; -- absent from --% | 234:mkA2 : Str -> Str -> A2 -- absent from --% | 763:mkA2 = overload {	1322:mkA2 = overload { | 1323:mkA2 : A -> A2 = \a -> mkA2Core a noPrep ; | 1324:mkA2 : A -> Prep -> A2 = \a,p -> mkA2Core a p ; | 1325:mkA2 : Str -> A2 = \a -> mkA2Core (mkA a) noPrep ; | 1326:mkA2 : Str -> Prep -> A2 = \a,p -> mkA2Core (mkA a) p ; | 1327:mkA2 : Str -> Str -> A2 = \a,p -> mkA2Core (mkA a) (mkPrep p) ;
Adverbs	mkAdv	True	True	244:mkAdv : Str -> Adv ; -- e.g. today | 576:mkAdv x = lin Adv (ss x) ;	1483:mkAdv : Str -> Adv = \s -> lin Adv {s=s} ;
Adverbs	mkAdV	True	True	245:mkAdV : Str -> AdV ; -- e.g. always | 577:mkAdV x = lin AdV (ss x) ;	1484:mkAdV : Str -> AdV = \s -> lin AdV {s=s} ;
Adverbs	mkAdA	True	True	249:mkAdA  : Str -> AdA ; -- e.g. quite | 578:mkAdA x = lin AdA (ss x) ;	1485:mkAdA : Str -> AdA = \s -> lin AdA {s=s} ;
Adverbs	mkCAdv	True	True	250:mkCAdv : Str -> Str -> Str -> CAdv ;   -- more than/no more than | 581:mkCAdv sp sn p = lin CAdv {s = table Polarity [sp;sn]; p = p} ;	1487:mkCAdv = overload { | 1488:mkCAdv : Str -> CAdv = \s -> lin CAdv {s=s; p=[]} ; | 1489:mkCAdv : Str -> Str -> CAdv = \s,p -> lin CAdv {s=s; p=p}
Adverbs	mkAdN	True	True	254:mkAdN : Str -> AdN ; -- e.g. approximately | 579:mkAdN x = lin AdN (ss x) ;	1486:mkAdN : Str -> AdN = \s -> lin AdN {s=s} ;
Government	mkPrep	True	True	"261:mkPrep : Str -> Prep ; -- e.g. ""in front of"" | 489:mkN2 : N -> Str -> N2 = \n,s -> prepN2 n (mkPrep s); | 490:mkN2 : Str -> Str -> N2 = \n,s -> prepN2 (regN n) (mkPrep s); | 491:mkN2 : N -> N2         = \n -> prepN2 n (mkPrep ""of"") ; | 492:mkN2 : Str -> N2       = \s -> prepN2 (regN s) (mkPrep ""of"") | 496:regN2 n = prepN2 (regN n) (mkPrep ""of"") ;"	1257:mkN2 : Str -> Str -> N2 = \x,p -> mkN2Core (mkN x) (mkPrep p) ; | 1327:mkA2 : Str -> Str -> A2 = \a,p -> mkA2Core (mkA a) (mkPrep p) ; | 1409:mkV2 : Str -> Str -> V2 = \v,p -> mkV2Core (mkV v) (mkPrep p) ; | 1480:mkV3 : Str -> Str -> V3 = \v,p3 -> mkV3Core (mkV v) noPrep (mkPrep p3) ; | 1602:mkPrep = overload { | 1603:mkPrep : Str -> Prep = \s -> lin Prep {s=s; c=Acc} ;
Government	mkPost	True	False	"262:mkPost : Str -> Prep ; -- e.g. ""ago"" | 587:mkPost p = mkPrep p ** {"	
Government	noPrep	True	True	263:noPrep : Prep ;  -- no preposition | 377:mkV2V : V -> Prep -> Prep -> V2V ;  -- e.g. want (noPrep NP) (to VP) | 379:ingV2V : V -> Prep -> Prep -> V2V ; -- e.g. prevent (noPrep NP) (from VP-ing) | 590:noPrep = mkPrep [] ; | 651:dirV2 v = prepV2 v noPrep ; | 655:dirV3 v p = prepPrepV3 v noPrep p ;	1253:mkN2 : N -> N2 = \n -> mkN2Core n noPrep ; | 1255:mkN2 : Str -> N2 = \x -> mkN2Core (mkN x) noPrep ; | 1323:mkA2 : A -> A2 = \a -> mkA2Core a noPrep ; | 1325:mkA2 : Str -> A2 = \a -> mkA2Core (mkA a) noPrep ; | 1405:mkV2 : V -> V2 = \v -> mkV2Core v noPrep ; | 1407:mkV2 : Str -> V2 = \v -> mkV2Core (mkV v) noPrep ;
Conjunctions	mkConj	True	True	270:mkConj : overload { | 271:mkConj : Str -> Conj ;                  -- and (plural agreement) --% | 272:mkConj : Str -> Number -> Conj ;        -- or (agrement number given as argument) --% | 273:mkConj : Str -> Str -> Conj ;           -- both ... and (plural) --% | 274:mkConj : Str -> Str -> Number -> Conj ; -- either ... or (agrement number given as argument) --% | 816:mkConj = overload {	1586:mkConj : Str -> Conj = \s -> lin Conj {s=s} ;
