lemma	category	surface	raw_description	mapping_status	gf_feature_path	note
rojë	N	rojat	noun, feminine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Fem	
rom	A	rome	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
rregullohem	V	rregullohen	verb; 3rd person plural present indicative non-active of	exact	Indicative.Pres.Pl.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
rregullohem	V	rregullohet	verb; 3rd person singular present indicative non-active of	exact	Indicative.Pres.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
rrëmbej	V	rrëmbeni	verb; 2nd person plural present subjunctive active of	exact	Subjunctive.Pl.P2	voice label retained as evidence metadata; current Verb table has no voice dimension
sa	Adv	sa	adverb;	exact	s	invariant/closed-category surface evidence
sa	Conj	sa	conjunction;	exact	s	invariant/closed-category surface evidence
se	Conj	se	conjunction;	exact	s	invariant/closed-category surface evidence
sepse	Conj	sepse	conjunction;	exact	s	invariant/closed-category surface evidence
serb	A	serbe	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
shetëror	A	shtetëror	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
shi	N	shi|shiu	noun, masculine; accusative singular indefinite of | noun, masculine; nominative singular definite of | noun, masculine; nominative singular indefinite of	ambiguous		source has 2 distinct forms but 3 analyses; alignment is not one-to-one
shkak	N	shkaku	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
shkruhem	V	shkruhej	verb; 3rd person singular imperfect subjunctive non-active of	exact	Subjunctive.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
shkëlqej	V	shkëlqente	verb, 3rd person singular imperfect indicative active of;	exact	Indicative.Imperfect.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
shoqëri	N	shoqërisë	noun feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
shoqëror	A	shoqërore	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
shpëtim	N	shpëtimin	noun, masculine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Masc	
shqip	A	shqipe	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
