lemma	category	surface	raw_description	mapping_status	gf_feature_path	note
klimë	N	klimën	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
kohë	N	kohën	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
koicidencë	N	koicidencë	noun, feminine; nominative singular indefinite of	exact	s.Indef.Nom.Sg;g=Fem	
kombëtar	A	kombëtare	adjective; feminine plural of	ambiguous	s.*.Fem.Pl	source adjective description does not determine GF Case
komunë	N	komune	noun, feminine; ablative singular indefinite of	exact	s.Indef.Ablat.Sg;g=Fem	
kontratë	N	kontratat	noun, feminine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Fem	
kryej	V	kryera	adjective; feminine plural participle of	exact	participle	
kryhem	V	kryhej	verb; 3rd person singular imperfect subjunctive non-active of	exact	Subjunctive.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
kthen	V	ktheni	verb; 2nd person plural present subjunctive active of	exact	Subjunctive.Pl.P2	voice label retained as evidence metadata; current Verb table has no voice dimension
kulturor	A	kulturore	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
kundrejt	Prep	kundrejt	preposition, ablative;	exact	c=Ablat;s	
kur	Adv	kur	adverb;	exact	s	invariant/closed-category surface evidence
kushtetues	A	kushtetues	adjective, masculine singular of;	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
ky	Det	ky	determiner; masculine nominative of	unmapped		category requires category-specific reviewed mapping
ky	Pron	ky	pronoun; feminine accusative of	unmapped		category requires category-specific reviewed mapping
ky	Pron	kësaj	pronoun; feminine genitive of	unmapped		category requires category-specific reviewed mapping
ky	Pron	këtë	pronoun; masculine nominative of	unmapped		category requires category-specific reviewed mapping
këtu	Adv	këtu	adverb;	exact	s	invariant/closed-category surface evidence
